trajectory_id,time,position,velocity,energy
run-012,1.75,-0.313881466032,-1.02395424567,0.574035793509
run-012,1.775,-0.339380108184,-1.01559593884,0.574036623721
run-012,1.8,-0.364661262974,-1.00655457318,0.574037543533
run-012,1.825,-0.389707836843,-0.996828845894,0.574038557102
run-012,1.85,-0.414502705269,-0.986417607163,0.574039668493
run-012,1.875,-0.439028717201,-0.97531991025,0.574040881605
run-012,1.9,-0.463268700781,-0.963535063622,0.574042200084
run-012,1.925,-0.487205470382,-0.951062684882,0.57404362724
run-012,1.95,-0.510821835025,-0.937902756172,0.574045165964
run-012,1.975,-0.534100608191,-0.924055680709,0.574046818639
run-012,2,-0.557024619061,-0.909522340131,0.574048587056
run-012,2.025,-0.579576725198,-0.894304152263,0.574050472334
run-012,2.05,-0.601739826674,-0.878403128939,0.574052474834
run-012,2.075,-0.623496881645,-0.861821933476,0.574054594088
run-012,2.1,-0.644830923348,-0.844563937398,0.574056828726
run-012,2.125,-0.665725078514,-0.826633275986,0.574059176409
run-012,2.15,-0.686162587147,-0.808034902232,0.574061633776
run-012,2.175,-0.706126823626,-0.788774638764,0.574064196396
run-012,2.2,-0.725601319085,-0.76885922731,0.574066858728
run-012,2.225,-0.744569784992,-0.748296375268,0.574069614096
run-012,2.25,-0.763016137849,-0.727094798948,0.574072454675
run-012,2.275,-0.780924524939,-0.705264263078,0.574075371493
run-012,2.3,-0.798279351003,-0.682815616159,0.57407835444
run-012,2.325,-0.815065305747,-0.659760821274,0.574081392303
run-012,2.35,-0.831267392066,-0.636112981993,0.574084472803
run-012,2.375,-0.846870954847,-0.611886363014,0.574087582662
run-012,2.4,-0.861861710217,-0.587096405235,0.574090707671
run-012,2.425,-0.876225775108,-0.561759734961,0.574093832788
run-012,2.45,-0.889949696965,-0.535894167012,0.574096942237
run-012,2.475,-0.903020483459,-0.509518701513,0.57410001963
run-012,2.5,-0.915425632041,-0.482653514212,0.574103048103
run-012,2.525,-0.927153159169,-0.455319940213,0.574106010456
run-012,2.55,-0.938191629051,-0.427540451049,0.574108889308
run-012,2.575,-0.948530181722,-0.399338625094,0.574111667264
run-012,2.6,-0.958158560306,-0.370739111357,0.574114327081
run-012,2.625,-0.96706713729,-0.341767586744,0.574116851841
run-012,2.65,-0.975246939643,-0.312450706959,0.574119225129
run-012,2.675,-0.982689672638,-0.282816051244,0.574121431208
run-012,2.7,-0.989387742205,-0.252892061231,0.574123455184
run-012,2.725,-0.995334275699,-0.222707974216,0.57412528318
run-012,2.75,-1.00052314092,-0.192293751248,0.574126902485
run-012,2.775,-1.00494896326,-0.161680000434,0.574128301706
run-012,2.8,-1.00860714094,-0.13089789594,0.574129470894
run-012,2.825,-1.01149385806,-0.0999790932008,0.574130401668
